"X1","X2","X3"
"MEG_5825","Strict","ARO:3007014"
"MEG_3915","Perfect","ARO:3000808"
"MEG_3924","Strict","ARO:3000506"
"MEG_7289","Strict","ARO:3000777"
"MEG_3911","Strict","ARO:3000777"
"MEG_3917","Perfect","ARO:3003693"
"MEG_401","Perfect","ARO:3000216"
"MEG_701","Strict","ARO:3000559"
"MEG_2734","Perfect","ARO:3000516"
"MEG_3661","Perfect","ARO:3000263"
"MEG_3747","Perfect","ARO:3000793"
"MEG_3749","Strict","ARO:3000794"
"MEG_1192","Strict","ARO:3000828"
"MEG_3515","Perfect","ARO:3004583"
"MEG_682","Perfect","ARO:3000778"
"MEG_684","Perfect","ARO:3000777"
"MEG_3903","Strict","ARO:3000378"
"MEG_733","Perfect","ARO:3004577"
"MEG_678","Perfect","ARO:3000775"
"MEG_7838","Perfect","ARO:3003063"
"MEG_3907","Perfect","ARO:3000801"
"MEG_6173","Strict","ARO:3000777"
"MEG_2725","Perfect","ARO:3000074"
"MEG_1191","Strict","ARO:3000828"
"MEG_3662","Perfect","ARO:3000263"
"MEG_5796","Perfect","ARO:3000822"
"MEG_1747","Strict","ARO:3000526"
"MEG_5826","Strict","ARO:3007014"
"MEG_6551","Strict","ARO:3003511"
"MEG_407","Perfect","ARO:3000491"
"MEG_3904","Perfect","ARO:3000800"
"MEG_2721","Strict","ARO:3000027"
"MEG_4077","Perfect","ARO:3000816"
"MEG_7839","Perfect","ARO:3003064"
"MEG_399","Perfect","ARO:3004043"
"MEG_409","Perfect","ARO:3000502"
"MEG_408","Perfect","ARO:3000499"
"MEG_2722","Perfect","ARO:3000027"
"MEG_3663","Strict","ARO:3003378"
"MEG_3756","Strict","ARO:3004583"
"MEG_3757","Strict","ARO:3004580"
"MEG_3737","Strict","ARO:3001328"
"MEG_3763","Perfect","ARO:3003548"
"MEG_3746","Perfect","ARO:3000792"
"MEG_3751","Perfect","ARO:3000795"
"MEG_3752","Perfect","ARO:3000796"
"MEG_3083","Perfect","ARO:3000508"
"MEG_3906","Perfect","ARO:3000800"
"MEG_6521","Perfect","ARO:3003055"
"MEG_3134","Strict","ARO:3000791"
"MEG_3132","Perfect","ARO:3000789"
"MEG_3133","Perfect","ARO:3000790"
"MEG_1227","Strict","ARO:3000777"
"MEG_3899","Perfect","ARO:3000377"
"MEG_5794","Strict","ARO:3004077"
"MEG_3916","Perfect","ARO:3003692"
"MEG_3514","Perfect","ARO:3004580"
"MEG_4103","Perfect","ARO:3004039"
"MEG_3925","Strict","ARO:3000506"
"MEG_4076","Perfect","ARO:3000816"
"MEG_689","Perfect","ARO:3000780"
"MEG_685","Strict","ARO:3000779"
"MEG_1641","Perfect","ARO:3003835"
"MEG_378","Perfect","ARO:3000768"
"MEG_677","Perfect","ARO:3000774"
"MEG_679","Perfect","ARO:3003811"
"MEG_690","Perfect","ARO:3000780"
"MEG_376","Perfect","ARO:3000768"
"MEG_3753","Perfect","ARO:3001329"
"MEG_3599","Perfect","ARO:3004572"
"MEG_4207","Perfect","ARO:3004667"
"MEG_4210","Strict","ARO:3007010"
"MEG_4335","Perfect","ARO:3003922"
"MEG_683","Perfect","ARO:3000778"
"MEG_5829","Perfect","ARO:3005010"
"MEG_377","Perfect","ARO:3000768"
"MEG_6523","Perfect","ARO:3003057"
"MEG_3761","Perfect","ARO:3001214"
"MEG_3996","Strict","ARO:3007015"
"MEG_1225","Strict","ARO:3000777"
"MEG_696","Perfect","ARO:3000782"
"MEG_694","Perfect","ARO:3000782"
"MEG_699","Perfect","ARO:3000620"
"MEG_698","Perfect","ARO:3000782"
"MEG_2732","Perfect","ARO:3000206"
"MEG_5847","Strict","ARO:3007014"
"MEG_2869","Strict","ARO:3000833"
"MEG_2736","Perfect","ARO:3000254"
"MEG_1640","Perfect","ARO:3003835"
"MEG_3926","Strict","ARO:3000506"
"MEG_5849","Perfect","ARO:3007014"
"MEG_5846","Perfect","ARO:3007015"
"MEG_1217","Strict","ARO:3007014"
"MEG_380","Perfect","ARO:3000768"
"MEG_406","Strict","ARO:3000491"
"MEG_1218","Strict","ARO:3007014"
"MEG_3905","Perfect","ARO:3000800"
"MEG_3901","Perfect","ARO:3000378"
"MEG_4334","Perfect","ARO:3003922"
